age,job,marital,education,housing,loan,contact,poutcome,termdeposit
49,blue-collar,married,basic.9y,no,no,cellular,nonexistent,no
37,entrepreneur,married,university.degree,no,no,telephone,failure,no
78,retired,married,basic.4y,no,no,cellular,nonexistent,yes
36,admin.,married,university.degree,yes,no,telephone,nonexistent,no
59,retired,divorced,university.degree,no,no,cellular,nonexistent,no
29,admin.,single,university.degree,no,no,cellular,nonexistent,no
26,student,single,basic.9y,no,no,telephone,nonexistent,yes
30,blue-collar,married,basic.4y,yes,no,cellular,nonexistent,no
50,blue-collar,married,basic.4y,no,no,telephone,nonexistent,no
33,admin.,single,high.school,yes,no,cellular,nonexistent,no
44,services,divorced,high.school,yes,no,cellular,nonexistent,no
32,technician,married,university.degree,yes,no,telephone,nonexistent,no
26,self-employed,single,professional.course,yes,no,cellular,nonexistent,no
43,management,married,university.degree,no,yes,telephone,nonexistent,no
56,blue-collar,married,basic.9y,no,no,cellular,nonexistent,no
40,blue-collar,married,basic.9y,yes,no,cellular,nonexistent,yes
32,admin.,divorced,university.degree,yes,no,cellular,nonexistent,no
47,technician,single,professional.course,no,no,telephone,nonexistent,no
50,services,single,basic.4y,yes,no,telephone,nonexistent,no
34,admin.,single,university.degree,no,yes,cellular,success,yes
46,services,married,unknown,no,no,cellular,nonexistent,no
39,blue-collar,married,basic.4y,no,no,cellular,nonexistent,no
41,admin.,divorced,basic.6y,no,no,telephone,nonexistent,no
30,technician,single,unknown,yes,no,telephone,nonexistent,no
55,unemployed,divorced,university.degree,no,no,cellular,success,yes
33,blue-collar,single,basic.4y,yes,no,cellular,failure,no
46,services,married,high.school,no,no,cellular,nonexistent,no
38,blue-collar,divorced,high.school,yes,yes,cellular,nonexistent,no
36,admin.,divorced,university.degree,yes,yes,cellular,nonexistent,no
30,technician,single,professional.course,yes,no,cellular,nonexistent,no
34,technician,single,high.school,no,no,telephone,nonexistent,no
63,retired,married,basic.4y,no,no,cellular,nonexistent,no
46,admin.,single,university.degree,yes,no,cellular,failure,no
44,self-employed,divorced,professional.course,yes,yes,cellular,failure,no
55,retired,married,basic.4y,yes,yes,cellular,nonexistent,no
32,admin.,single,university.degree,no,no,cellular,nonexistent,no
34,admin.,married,university.degree,no,no,cellular,nonexistent,no
33,self-employed,married,university.degree,no,no,telephone,nonexistent,no
34,blue-collar,married,basic.9y,yes,no,cellular,failure,no
23,admin.,married,high.school,no,no,cellular,nonexistent,no
39,blue-collar,married,basic.6y,no,no,cellular,nonexistent,no
30,technician,married,university.degree,no,no,telephone,nonexistent,no
41,technician,divorced,professional.course,no,no,cellular,failure,yes
55,unknown,married,unknown,yes,no,cellular,nonexistent,no
30,admin.,married,university.degree,no,no,telephone,nonexistent,no
48,services,divorced,high.school,no,yes,cellular,nonexistent,no
36,technician,single,professional.course,yes,no,cellular,nonexistent,yes
46,self-employed,married,basic.4y,yes,yes,cellular,failure,no
48,admin.,single,high.school,no,no,cellular,nonexistent,no
36,entrepreneur,married,high.school,yes,no,telephone,nonexistent,no
53,self-employed,married,university.degree,yes,no,telephone,nonexistent,no
56,retired,married,basic.9y,yes,yes,telephone,nonexistent,no
48,blue-collar,married,unknown,unknown,unknown,cellular,nonexistent,no
35,blue-collar,married,basic.9y,no,no,cellular,failure,no
50,entrepreneur,married,professional.course,yes,no,cellular,nonexistent,no
32,technician,single,professional.course,yes,yes,cellular,failure,no
37,technician,single,university.degree,no,no,telephone,nonexistent,no
56,services,divorced,high.school,no,no,telephone,nonexistent,no
35,blue-collar,single,basic.9y,yes,no,cellular,nonexistent,no
51,blue-collar,married,basic.4y,yes,no,cellular,nonexistent,yes
51,admin.,married,university.degree,no,no,cellular,nonexistent,yes
44,technician,divorced,professional.course,yes,no,cellular,nonexistent,no
36,blue-collar,married,basic.9y,yes,no,telephone,nonexistent,no
36,unemployed,married,university.degree,no,no,cellular,nonexistent,no
47,admin.,single,university.degree,no,no,cellular,nonexistent,no
30,technician,single,professional.course,yes,no,cellular,nonexistent,no
32,admin.,married,university.degree,no,no,cellular,nonexistent,no
39,admin.,married,university.degree,yes,no,telephone,nonexistent,no
71,retired,married,professional.course,no,no,cellular,nonexistent,no
34,admin.,single,high.school,no,no,cellular,nonexistent,no
32,admin.,single,university.degree,unknown,unknown,telephone,nonexistent,no
58,services,married,basic.4y,no,no,telephone,nonexistent,no
21,blue-collar,single,basic.9y,no,no,cellular,nonexistent,no
39,blue-collar,married,basic.9y,yes,no,cellular,nonexistent,no
39,entrepreneur,married,high.school,no,yes,telephone,nonexistent,no
39,management,married,high.school,yes,no,cellular,nonexistent,no
45,blue-collar,married,basic.9y,no,no,telephone,nonexistent,no
40,admin.,single,high.school,no,no,telephone,nonexistent,no
